epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
20,2020-05-10,3,PR,Abatiá,4100103,city,1,13.41022,0,0,0,0.0,7457,False,True
20,2020-05-10,2,PR,Agudos do Sul,4100301,city,1,10.67122,0,0,0,0.0,9371,False,True
20,2020-05-10,42,PR,Almirante Tamandaré,4100400,city,12,10.11608,0,0,0,0.0,118623,False,True
20,2020-05-10,23,PR,Alto Paraná,4100608,city,6,40.62288,0,0,0,0.0,14770,False,True
20,2020-05-10,9,PR,Alvorada do Sul,4100806,city,2,17.53463,0,0,0,0.0,11406,False,True
20,2020-05-10,22,PR,Amaporã,4100905,city,16,255.7136,0,0,0,0.0,6257,False,True
20,2020-05-10,7,PR,Ampére,4101002,city,3,15.66416,0,0,0,0.0,19152,False,True
20,2020-05-10,28,PR,Apucarana,4101408,city,25,18.51907,0,2,0,0.08,134996,False,True
20,2020-05-10,40,PR,Arapongas,4101507,city,18,14.63093,0,1,0,0.0556,123027,False,True
20,2020-05-10,38,PR,Araruna,4101705,city,15,107.37294,0,1,0,0.0667,13970,False,True
20,2020-05-10,40,PR,Araucária,4101804,city,11,7.64723,0,0,0,0.0,143843,False,True
20,2020-05-10,26,PR,Assaí,4101903,city,1,6.61419,0,0,0,0.0,15119,False,True
20,2020-05-10,40,PR,Assis Chateaubriand,4102000,city,16,47.95876,0,0,0,0.0,33362,False,True
20,2020-05-10,36,PR,Balsa Nova,4102307,city,5,38.63689,0,0,0,0.0,12941,False,True
20,2020-05-10,35,PR,Bandeirantes,4102406,city,3,9.56419,0,1,0,0.3333,31367,False,True
20,2020-05-10,17,PR,Barracão,4102604,city,1,9.73236,0,0,0,0.0,10275,False,True
20,2020-05-10,19,PR,Boa Vista da Aparecida,4103057,city,1,13.17349,0,0,0,0.0,7591,False,True
20,2020-05-10,40,PR,Cambé,4103701,city,10,9.38676,0,1,0,0.1,106533,False,True
20,2020-05-10,32,PR,Campina da Lagoa,4103909,city,1,7.04126,0,1,0,1.0,14202,False,True
20,2020-05-10,38,PR,Campina Grande do Sul,4104006,city,11,25.4112,0,1,0,0.0909,43288,False,True
20,2020-05-10,14,PR,Campo do Tenente,4104105,city,1,12.54548,0,0,0,0.0,7971,False,True
20,2020-05-10,55,PR,Campo Largo,4104204,city,23,17.42398,0,2,0,0.087,132002,False,True
20,2020-05-10,38,PR,Campo Magro,4104253,city,2,6.82175,0,0,0,0.0,29318,False,True
20,2020-05-10,47,PR,Campo Mourão,4104303,city,43,45.33044,0,4,0,0.093,94859,False,True
20,2020-05-10,12,PR,Carlópolis,4104709,city,0,,0,0,0,0.0,14320,False,True
20,2020-05-10,49,PR,Cascavel,4104808,city,91,27.70555,0,4,0,0.044,328454,False,True
20,2020-05-10,43,PR,Castro,4104907,city,3,4.19674,0,0,0,0.0,71484,False,True
20,2020-05-10,14,PR,Céu Azul,4105300,city,5,42.49894,0,0,0,0.0,11765,False,True
20,2020-05-10,37,PR,Chopinzinho,4105409,city,1,5.19373,0,0,0,0.0,19254,False,True
20,2020-05-10,60,PR,Cianorte,4105508,city,24,29.04866,0,1,0,0.0417,82620,False,True
20,2020-05-10,50,PR,Colombo,4105805,city,21,8.61623,0,0,0,0.0,243726,False,True
20,2020-05-10,2,PR,Colorado,4105904,city,1,4.16458,0,0,0,0.0,24012,False,True
20,2020-05-10,43,PR,Contenda,4106209,city,2,10.76195,0,0,0,0.0,18584,False,True
20,2020-05-10,39,PR,Cornélio Procópio,4106407,city,1,2.09008,0,0,0,0.0,47845,False,True
20,2020-05-10,22,PR,Cruzeiro do Sul,4106704,city,6,134.25822,0,0,0,0.0,4469,False,True
20,2020-05-10,60,PR,Curitiba,4106902,city,541,27.98606,0,29,0,0.0536,1933105,False,True
20,2020-05-10,23,PR,Dois Vizinhos,4107207,city,1,2.46057,0,0,0,0.0,40641,False,True
20,2020-05-10,47,PR,Faxinal,4107603,city,2,11.59353,0,0,0,0.0,17251,False,True
20,2020-05-10,40,PR,Fazenda Rio Grande,4107652,city,25,24.94786,0,3,0,0.12,100209,False,True
20,2020-05-10,19,PR,Floresta,4107900,city,2,29.52465,0,0,0,0.0,6774,False,True
20,2020-05-10,54,PR,Foz do Iguaçu,4108304,city,60,23.20796,0,2,0,0.0333,258532,False,True
20,2020-05-10,41,PR,Francisco Beltrão,4108403,city,9,9.88001,0,0,0,0.0,91093,False,True
20,2020-05-10,2,PR,General Carneiro,4108502,city,1,7.29395,0,0,0,0.0,13710,False,True
20,2020-05-10,40,PR,Goioerê,4108601,city,5,17.31062,0,0,0,0.0,28884,False,True
20,2020-05-10,52,PR,Guaíra,4108809,city,14,42.27181,0,3,0,0.2143,33119,False,True
20,2020-05-10,25,PR,Guairaçá,4108908,city,5,75.9763,0,1,0,0.2,6581,False,True
20,2020-05-10,24,PR,Guaraci,4109203,city,5,90.87605,0,0,0,0.0,5502,False,True
20,2020-05-10,37,PR,Guaraniaçu,4109302,city,6,48.10776,0,0,0,0.0,12472,False,True
20,2020-05-10,45,PR,Guarapuava,4109401,city,15,8.26428,0,0,0,0.0,181504,False,True
20,2020-05-10,3,PR,Guaraqueçaba,4109500,city,1,13.09586,0,0,0,0.0,7636,False,True
20,2020-05-10,17,PR,Guaratuba,4109609,city,4,10.79127,0,0,0,0.0,37067,False,True
20,2020-05-10,40,PR,Ibaiti,4109708,city,2,6.37674,0,0,0,0.0,31364,False,True
20,2020-05-10,37,PR,Ibema,4109757,city,11,173.1738,0,0,0,0.0,6352,False,True
20,2020-05-10,21,PR,Ibiporã,4109807,city,2,3.66582,0,0,0,0.0,54558,False,True
20,2020-05-10,23,PR,Imbaú,4110078,city,2,15.25437,0,0,0,0.0,13111,False,True
20,2020-05-10,50,PR,Importados/Indefinidos,,city,24,,0,3,0,0.125,,False,True
20,2020-05-10,6,PR,Inácio Martins,4110201,city,1,8.98876,0,0,0,0.0,11125,False,True
20,2020-05-10,45,PR,Iretama,4110805,city,2,19.66762,0,1,0,0.5,10169,False,True
20,2020-05-10,23,PR,Itaperuçu,4111258,city,6,20.95411,0,0,0,0.0,28634,False,True
20,2020-05-10,12,PR,Itaúna do Sul,4111308,city,1,34.90401,0,0,0,0.0,2865,False,True
20,2020-05-10,11,PR,Ivaí,4111407,city,1,7.20513,0,0,0,0.0,13879,False,True
20,2020-05-10,33,PR,Ivaiporã,4111506,city,7,21.88594,0,2,0,0.2857,31984,False,True
20,2020-05-10,21,PR,Jacarezinho,4111803,city,1,2.53949,0,0,0,0.0,39378,False,True
20,2020-05-10,23,PR,Jaguapitã,4111902,city,1,7.34214,0,0,0,0.0,13620,False,True
20,2020-05-10,22,PR,Japurá,4112405,city,1,10.61008,0,0,0,0.0,9425,False,True
20,2020-05-10,28,PR,Jataizinho,4112702,city,2,15.88815,0,0,0,0.0,12588,False,True
20,2020-05-10,29,PR,Jussara,4113007,city,1,14.25923,0,1,0,1.0,7013,False,True
20,2020-05-10,41,PR,Lapa,4113205,city,4,8.30513,0,0,0,0.0,48163,False,True
20,2020-05-10,39,PR,Leópolis,4113403,city,1,25.29084,0,0,0,0.0,3954,False,True
20,2020-05-10,9,PR,Loanda,4113502,city,2,8.66326,0,0,0,0.0,23086,False,True
20,2020-05-10,55,PR,Londrina,4113700,city,112,19.65833,0,14,0,0.125,569733,False,True
20,2020-05-10,12,PR,Lupionópolis,4113809,city,0,,0,0,0,0.0,4920,False,True
20,2020-05-10,4,PR,Mallet,4113908,city,1,7.33676,0,0,0,0.0,13630,False,True
20,2020-05-10,17,PR,Mandaguaçu,4114104,city,2,8.76463,0,0,0,0.0,22819,False,True
20,2020-05-10,20,PR,Mandaguari,4114203,city,1,2.90698,0,0,0,0.0,34400,False,True
20,2020-05-10,39,PR,Mandirituba,4114302,city,4,14.88704,0,0,0,0.0,26869,False,True
20,2020-05-10,32,PR,Manoel Ribas,4114500,city,1,7.40631,0,1,0,1.0,13502,False,True
20,2020-05-10,43,PR,Marechal Cândido Rondon,4114609,city,2,3.77758,0,0,0,0.0,52944,False,True
20,2020-05-10,5,PR,Marialva,4114807,city,1,2.81722,0,0,0,0.0,35496,False,True
20,2020-05-10,7,PR,Marilândia do Sul,4114906,city,1,11.31734,0,0,0,0.0,8836,False,True
20,2020-05-10,13,PR,Marilena,4115002,city,10,141.32278,0,0,0,0.0,7076,False,True
20,2020-05-10,54,PR,Maringá,4115200,city,63,14.8702,0,6,0,0.0952,423666,False,True
20,2020-05-10,44,PR,Mariópolis,4115309,city,3,45.38578,0,0,0,0.0,6610,False,True
20,2020-05-10,31,PR,Marumbi,4115507,city,2,42.74418,0,0,0,0.0,4679,False,True
20,2020-05-10,42,PR,Matinhos,4115705,city,2,5.76037,0,0,0,0.0,34720,False,True
20,2020-05-10,43,PR,Medianeira,4115804,city,8,17.31677,0,0,0,0.0,46198,False,True
20,2020-05-10,11,PR,Mirador,4115903,city,4,180.75011,0,1,0,0.25,2213,False,True
20,2020-05-10,23,PR,Morretes,4116208,city,2,12.19066,0,0,0,0.0,16406,False,True
20,2020-05-10,6,PR,Nova Aliança do Ivaí,4116505,city,1,64.80881,0,0,0,0.0,1543,False,True
20,2020-05-10,19,PR,Nova Esperança,4116901,city,5,17.91858,0,0,0,0.0,27904,False,True
20,2020-05-10,13,PR,Nova Fátima,4117008,city,1,12.26542,0,0,0,0.0,8153,False,True
20,2020-05-10,23,PR,Nova Londrina,4117107,city,10,75.68304,0,0,0,0.0,13213,False,True
20,2020-05-10,31,PR,Paiçandu,4117503,city,1,2.42242,0,0,0,0.0,41281,False,True
20,2020-05-10,37,PR,Palmas,4117602,city,1,1.96132,0,0,0,0.0,50986,False,True
20,2020-05-10,39,PR,Palmeira,4117701,city,2,5.90371,0,0,0,0.0,33877,False,True
20,2020-05-10,10,PR,Palotina,4117909,city,2,6.28022,0,0,0,0.0,31846,False,True
20,2020-05-10,14,PR,Paraíso do Norte,4118006,city,2,14.46132,0,0,0,0.0,13830,False,True
20,2020-05-10,22,PR,Paranacity,4118105,city,6,52.30126,0,0,0,0.0,11472,False,True
20,2020-05-10,39,PR,Paranaguá,4118204,city,17,10.97227,0,2,0,0.1176,154936,False,True
20,2020-05-10,15,PR,Paranapoema,4118303,city,1,31.22073,0,0,0,0.0,3203,False,True
20,2020-05-10,48,PR,Paranavaí,4118402,city,60,67.89327,0,4,0,0.0667,88374,False,True
20,2020-05-10,51,PR,Pato Branco,4118501,city,16,19.30479,0,1,0,0.0625,82881,False,True
20,2020-05-10,43,PR,Peabiru,4118808,city,2,14.2898,0,0,0,0.0,13996,False,True
20,2020-05-10,55,PR,Pinhais,4119152,city,29,21.9436,0,2,0,0.069,132157,False,True
20,2020-05-10,21,PR,Pinhal de São Bento,4119251,city,1,36.61662,0,0,0,0.0,2731,False,True
20,2020-05-10,37,PR,Pinhão,4119301,city,2,6.17455,0,0,0,0.0,32391,False,True
20,2020-05-10,38,PR,Piraquara,4119509,city,19,16.8088,0,0,0,0.0,113036,False,True
20,2020-05-10,22,PR,Planaltina do Paraná,4119707,city,8,187.66127,0,0,0,0.0,4263,False,True
20,2020-05-10,51,PR,Ponta Grossa,4119905,city,23,6.539,0,0,0,0.0,351736,False,True
20,2020-05-10,2,PR,Pontal do Paraná,4119954,city,1,3.66515,0,0,0,0.0,27284,False,True
20,2020-05-10,13,PR,Prado Ferreira,4120333,city,3,79.93605,0,0,0,0.0,3753,False,True
20,2020-05-10,35,PR,Primeiro de Maio,4120507,city,2,17.98076,0,1,0,0.5,11123,False,True
20,2020-05-10,44,PR,Quatiguá,4120705,city,2,26.84924,0,1,0,0.5,7449,False,True
20,2020-05-10,41,PR,Quatro Barras,4120804,city,2,8.48932,0,0,0,0.0,23559,False,True
20,2020-05-10,19,PR,Querência do Norte,4121000,city,7,57.34884,0,0,0,0.0,12206,False,True
20,2020-05-10,34,PR,Quitandinha,4121208,city,4,20.99848,0,0,0,0.0,19049,False,True
20,2020-05-10,22,PR,Ramilândia,4121257,city,1,22.46686,0,0,0,0.0,4451,False,True
20,2020-05-10,3,PR,Realeza,4121406,city,2,11.81893,0,0,0,0.0,16922,False,True
20,2020-05-10,13,PR,Ribeirão do Pinhal,4121901,city,5,38.37593,0,1,0,0.2,13029,False,True
20,2020-05-10,42,PR,Rio Branco do Sul,4122206,city,4,12.34682,0,0,0,0.0,32397,False,True
20,2020-05-10,45,PR,Rio Negro,4122305,city,3,8.77963,0,0,0,0.0,34170,False,True
20,2020-05-10,37,PR,Rolândia,4122404,city,3,4.50586,0,0,0,0.0,66580,False,True
20,2020-05-10,27,PR,Santa Cruz de Monte Castelo,4123303,city,4,51.28205,0,0,0,0.0,7800,False,True
20,2020-05-10,36,PR,Santa Fé,4123402,city,7,58.15403,0,1,0,0.1429,12037,False,True
20,2020-05-10,23,PR,Santa Isabel do Ivaí,4123709,city,8,93.43611,0,0,0,0.0,8562,False,True
20,2020-05-10,12,PR,Santa Mariana,4123907,city,1,8.52951,0,0,0,0.0,11724,False,True
20,2020-05-10,29,PR,Santa Mônica,4123956,city,8,200.95453,0,1,0,0.125,3981,False,True
20,2020-05-10,27,PR,Santana do Itararé,4124004,city,1,20.03205,0,0,0,0.0,4992,False,True
20,2020-05-10,22,PR,Santa Terezinha de Itaipu,4124053,city,2,8.52333,0,0,0,0.0,23465,False,True
20,2020-05-10,25,PR,Santo Antônio do Caiuá,4124202,city,19,719.42446,0,1,0,0.0526,2641,False,True
20,2020-05-10,6,PR,Santo Inácio,4124509,city,1,18.38911,0,0,0,0.0,5438,False,True
20,2020-05-10,27,PR,São João do Caiuá,4124905,city,32,546.54142,0,1,0,0.0312,5855,False,True
20,2020-05-10,33,PR,São João do Ivaí,4125001,city,6,58.71416,0,1,0,0.1667,10219,False,True
20,2020-05-10,3,PR,São José da Boa Vista,4125407,city,1,16.11344,0,0,0,0.0,6206,False,True
20,2020-05-10,43,PR,São José dos Pinhais,4125506,city,27,8.35034,0,1,0,0.037,323340,False,True
20,2020-05-10,39,PR,São Manoel do Paraná,4125555,city,1,46.2963,0,0,0,0.0,2160,False,True
20,2020-05-10,38,PR,Sarandi,4126256,city,3,3.10276,0,0,0,0.0,96688,False,True
20,2020-05-10,36,PR,Sertaneja,4126405,city,1,18.92506,0,0,0,0.0,5284,False,True
20,2020-05-10,18,PR,Siqueira Campos,4126603,city,1,4.75828,0,1,0,1.0,21016,False,True
20,2020-05-10,22,PR,Tamboara,4126702,city,9,175.78125,0,1,0,0.1111,5120,False,True
20,2020-05-10,48,PR,Telêmaco Borba,4127106,city,21,26.59103,0,0,0,0.0,78974,False,True
20,2020-05-10,39,PR,Terra Boa,4127205,city,2,11.70001,0,1,0,0.5,17094,False,True
20,2020-05-10,43,PR,Terra Rica,4127304,city,11,65.51909,0,0,0,0.0,16789,False,True
20,2020-05-10,33,PR,Toledo,4127700,city,2,1.42212,0,0,0,0.0,140635,False,True
20,2020-05-10,11,PR,Três Barras do Paraná,4127858,city,3,24.91694,0,0,0,0.0,12040,False,True
20,2020-05-10,27,PR,Tupãssi,4127957,city,1,12.30921,0,0,0,0.0,8124,False,True
20,2020-05-10,51,PR,Umuarama,4128104,city,7,6.27482,0,1,0,0.1429,111557,False,True
20,2020-05-10,45,PR,União da Vitória,4128203,city,7,12.17031,0,0,0,0.0,57517,False,True
20,2020-05-10,5,PR,Uraí,4128401,city,1,8.83861,0,1,0,1.0,11314,False,True
20,2020-05-10,41,PR,Verê,4128609,city,3,41.3394,0,1,0,0.3333,7257,False,True
20,2020-05-10,34,PR,Vitorino,4128708,city,1,14.62416,0,0,0,0.0,6838,False,True
19,2020-05-09,2,PR,Abatiá,4100103,city,1,13.41022,0,0,0,0.0,7457,True,False
19,2020-05-09,1,PR,Agudos do Sul,4100301,city,1,10.67122,1,0,0,0.0,9371,True,False
19,2020-05-09,41,PR,Almirante Tamandaré,4100400,city,12,10.11608,0,0,0,0.0,118623,True,False
19,2020-05-09,22,PR,Alto Paraná,4100608,city,6,40.62288,0,0,0,0.0,14770,True,False
19,2020-05-09,8,PR,Alvorada do Sul,4100806,city,2,17.53463,0,0,0,0.0,11406,True,False
19,2020-05-09,21,PR,Amaporã,4100905,city,16,255.7136,0,0,0,0.0,6257,True,False
19,2020-05-09,6,PR,Ampére,4101002,city,3,15.66416,0,0,0,0.0,19152,True,False
19,2020-05-09,27,PR,Apucarana,4101408,city,25,18.51907,3,2,0,0.08,134996,True,False
19,2020-05-09,39,PR,Arapongas,4101507,city,18,14.63093,3,1,0,0.0556,123027,True,False
19,2020-05-09,37,PR,Araruna,4101705,city,15,107.37294,0,1,0,0.0667,13970,True,False
19,2020-05-09,39,PR,Araucária,4101804,city,11,7.64723,3,0,0,0.0,143843,True,False
19,2020-05-09,25,PR,Assaí,4101903,city,1,6.61419,0,0,0,0.0,15119,True,False
19,2020-05-09,39,PR,Assis Chateaubriand,4102000,city,16,47.95876,0,0,0,0.0,33362,True,False
19,2020-05-09,35,PR,Balsa Nova,4102307,city,5,38.63689,0,0,0,0.0,12941,True,False
19,2020-05-09,34,PR,Bandeirantes,4102406,city,3,9.56419,0,1,0,0.3333,31367,True,False
19,2020-05-09,16,PR,Barracão,4102604,city,1,9.73236,0,0,0,0.0,10275,True,False
19,2020-05-09,18,PR,Boa Vista da Aparecida,4103057,city,1,13.17349,0,0,0,0.0,7591,True,False
19,2020-05-09,39,PR,Cambé,4103701,city,10,9.38676,0,1,0,0.1,106533,True,False
19,2020-05-09,31,PR,Campina da Lagoa,4103909,city,1,7.04126,0,1,0,1.0,14202,True,False
19,2020-05-09,37,PR,Campina Grande do Sul,4104006,city,11,25.4112,2,1,0,0.0909,43288,True,False
19,2020-05-09,13,PR,Campo do Tenente,4104105,city,1,12.54548,0,0,0,0.0,7971,True,False
19,2020-05-09,54,PR,Campo Largo,4104204,city,23,17.42398,0,2,0,0.087,132002,True,False
19,2020-05-09,37,PR,Campo Magro,4104253,city,2,6.82175,1,0,0,0.0,29318,True,False
19,2020-05-09,46,PR,Campo Mourão,4104303,city,43,45.33044,1,4,0,0.093,94859,True,False
19,2020-05-09,11,PR,Carlópolis,4104709,city,0,,0,0,0,0.0,14320,True,False
19,2020-05-09,48,PR,Cascavel,4104808,city,91,27.70555,5,4,0,0.044,328454,True,False
19,2020-05-09,42,PR,Castro,4104907,city,3,4.19674,0,0,0,0.0,71484,True,False
19,2020-05-09,13,PR,Céu Azul,4105300,city,5,42.49894,0,0,0,0.0,11765,True,False
19,2020-05-09,36,PR,Chopinzinho,4105409,city,1,5.19373,0,0,0,0.0,19254,True,False
19,2020-05-09,59,PR,Cianorte,4105508,city,24,29.04866,0,1,0,0.0417,82620,True,False
19,2020-05-09,49,PR,Colombo,4105805,city,21,8.61623,2,0,0,0.0,243726,True,False
19,2020-05-09,1,PR,Colorado,4105904,city,1,4.16458,1,0,0,0.0,24012,True,False
19,2020-05-09,42,PR,Contenda,4106209,city,2,10.76195,1,0,0,0.0,18584,True,False
19,2020-05-09,38,PR,Cornélio Procópio,4106407,city,1,2.09008,0,0,0,0.0,47845,True,False
19,2020-05-09,21,PR,Cruzeiro do Sul,4106704,city,6,134.25822,0,0,0,0.0,4469,True,False
19,2020-05-09,59,PR,Curitiba,4106902,city,541,27.98606,27,29,1,0.0536,1933105,True,False
19,2020-05-09,22,PR,Dois Vizinhos,4107207,city,1,2.46057,0,0,0,0.0,40641,True,False
19,2020-05-09,46,PR,Faxinal,4107603,city,2,11.59353,0,0,0,0.0,17251,True,False
19,2020-05-09,39,PR,Fazenda Rio Grande,4107652,city,25,24.94786,1,3,0,0.12,100209,True,False
19,2020-05-09,18,PR,Floresta,4107900,city,2,29.52465,0,0,0,0.0,6774,True,False
19,2020-05-09,53,PR,Foz do Iguaçu,4108304,city,60,23.20796,0,2,0,0.0333,258532,True,False
19,2020-05-09,40,PR,Francisco Beltrão,4108403,city,9,9.88001,0,0,0,0.0,91093,True,False
19,2020-05-09,1,PR,General Carneiro,4108502,city,1,7.29395,1,0,0,0.0,13710,True,False
19,2020-05-09,39,PR,Goioerê,4108601,city,5,17.31062,0,0,0,0.0,28884,True,False
19,2020-05-09,51,PR,Guaíra,4108809,city,14,42.27181,0,3,0,0.2143,33119,True,False
19,2020-05-09,24,PR,Guairaçá,4108908,city,5,75.9763,0,1,0,0.2,6581,True,False
19,2020-05-09,23,PR,Guaraci,4109203,city,5,90.87605,0,0,0,0.0,5502,True,False
19,2020-05-09,36,PR,Guaraniaçu,4109302,city,6,48.10776,0,0,0,0.0,12472,True,False
19,2020-05-09,44,PR,Guarapuava,4109401,city,15,8.26428,0,0,0,0.0,181504,True,False
19,2020-05-09,2,PR,Guaraqueçaba,4109500,city,1,13.09586,0,0,0,0.0,7636,True,False
19,2020-05-09,16,PR,Guaratuba,4109609,city,4,10.79127,0,0,0,0.0,37067,True,False
19,2020-05-09,39,PR,Ibaiti,4109708,city,2,6.37674,1,0,0,0.0,31364,True,False
19,2020-05-09,36,PR,Ibema,4109757,city,11,173.1738,0,0,0,0.0,6352,True,False
19,2020-05-09,20,PR,Ibiporã,4109807,city,2,3.66582,0,0,0,0.0,54558,True,False
19,2020-05-09,22,PR,Imbaú,4110078,city,2,15.25437,0,0,0,0.0,13111,True,False
19,2020-05-09,49,PR,Importados/Indefinidos,,city,24,,1,3,0,0.125,,True,False
19,2020-05-09,5,PR,Inácio Martins,4110201,city,1,8.98876,0,0,0,0.0,11125,True,False
19,2020-05-09,44,PR,Iretama,4110805,city,2,19.66762,0,1,0,0.5,10169,True,False
19,2020-05-09,22,PR,Itaperuçu,4111258,city,6,20.95411,0,0,0,0.0,28634,True,False
19,2020-05-09,11,PR,Itaúna do Sul,4111308,city,1,34.90401,0,0,0,0.0,2865,True,False
19,2020-05-09,10,PR,Ivaí,4111407,city,1,7.20513,0,0,0,0.0,13879,True,False
19,2020-05-09,32,PR,Ivaiporã,4111506,city,7,21.88594,0,2,0,0.2857,31984,True,False
19,2020-05-09,20,PR,Jacarezinho,4111803,city,1,2.53949,0,0,0,0.0,39378,True,False
19,2020-05-09,22,PR,Jaguapitã,4111902,city,1,7.34214,0,0,0,0.0,13620,True,False
19,2020-05-09,21,PR,Japurá,4112405,city,1,10.61008,0,0,0,0.0,9425,True,False
19,2020-05-09,27,PR,Jataizinho,4112702,city,2,15.88815,-1,0,0,0.0,12588,True,False
19,2020-05-09,28,PR,Jussara,4113007,city,1,14.25923,0,1,0,1.0,7013,True,False
19,2020-05-09,40,PR,Lapa,4113205,city,4,8.30513,0,0,0,0.0,48163,True,False
19,2020-05-09,38,PR,Leópolis,4113403,city,1,25.29084,0,0,0,0.0,3954,True,False
19,2020-05-09,8,PR,Loanda,4113502,city,2,8.66326,0,0,0,0.0,23086,True,False
19,2020-05-09,54,PR,Londrina,4113700,city,112,19.65833,2,14,0,0.125,569733,True,False
19,2020-05-09,11,PR,Lupionópolis,4113809,city,0,,0,0,0,0.0,4920,True,False
19,2020-05-09,3,PR,Mallet,4113908,city,1,7.33676,0,0,0,0.0,13630,True,False
19,2020-05-09,16,PR,Mandaguaçu,4114104,city,2,8.76463,0,0,0,0.0,22819,True,False
19,2020-05-09,19,PR,Mandaguari,4114203,city,1,2.90698,0,0,0,0.0,34400,True,False
19,2020-05-09,38,PR,Mandirituba,4114302,city,4,14.88704,0,0,0,0.0,26869,True,False
19,2020-05-09,31,PR,Manoel Ribas,4114500,city,1,7.40631,0,1,0,1.0,13502,True,False
19,2020-05-09,42,PR,Marechal Cândido Rondon,4114609,city,2,3.77758,0,0,0,0.0,52944,True,False
19,2020-05-09,4,PR,Marialva,4114807,city,1,2.81722,0,0,0,0.0,35496,True,False
19,2020-05-09,6,PR,Marilândia do Sul,4114906,city,1,11.31734,0,0,0,0.0,8836,True,False
19,2020-05-09,12,PR,Marilena,4115002,city,10,141.32278,0,0,0,0.0,7076,True,False
19,2020-05-09,53,PR,Maringá,4115200,city,63,14.8702,0,6,0,0.0952,423666,True,False
19,2020-05-09,43,PR,Mariópolis,4115309,city,3,45.38578,0,0,0,0.0,6610,True,False
19,2020-05-09,30,PR,Marumbi,4115507,city,2,42.74418,0,0,0,0.0,4679,True,False
19,2020-05-09,41,PR,Matinhos,4115705,city,2,5.76037,0,0,0,0.0,34720,True,False
19,2020-05-09,42,PR,Medianeira,4115804,city,8,17.31677,0,0,0,0.0,46198,True,False
19,2020-05-09,10,PR,Mirador,4115903,city,4,180.75011,0,1,0,0.25,2213,True,False
19,2020-05-09,22,PR,Morretes,4116208,city,2,12.19066,0,0,0,0.0,16406,True,False
19,2020-05-09,5,PR,Nova Aliança do Ivaí,4116505,city,1,64.80881,0,0,0,0.0,1543,True,False
19,2020-05-09,18,PR,Nova Esperança,4116901,city,5,17.91858,0,0,0,0.0,27904,True,False
19,2020-05-09,12,PR,Nova Fátima,4117008,city,1,12.26542,0,0,0,0.0,8153,True,False
19,2020-05-09,22,PR,Nova Londrina,4117107,city,10,75.68304,0,0,0,0.0,13213,True,False
19,2020-05-09,30,PR,Paiçandu,4117503,city,1,2.42242,0,0,0,0.0,41281,True,False
19,2020-05-09,36,PR,Palmas,4117602,city,1,1.96132,0,0,0,0.0,50986,True,False
19,2020-05-09,38,PR,Palmeira,4117701,city,2,5.90371,0,0,0,0.0,33877,True,False
19,2020-05-09,9,PR,Palotina,4117909,city,2,6.28022,0,0,0,0.0,31846,True,False
19,2020-05-09,13,PR,Paraíso do Norte,4118006,city,2,14.46132,0,0,0,0.0,13830,True,False
19,2020-05-09,21,PR,Paranacity,4118105,city,6,52.30126,0,0,0,0.0,11472,True,False
19,2020-05-09,38,PR,Paranaguá,4118204,city,17,10.97227,1,2,0,0.1176,154936,True,False
19,2020-05-09,14,PR,Paranapoema,4118303,city,1,31.22073,0,0,0,0.0,3203,True,False
19,2020-05-09,47,PR,Paranavaí,4118402,city,60,67.89327,3,4,0,0.0667,88374,True,False
19,2020-05-09,50,PR,Pato Branco,4118501,city,16,19.30479,1,1,0,0.0625,82881,True,False
19,2020-05-09,42,PR,Peabiru,4118808,city,2,14.2898,0,0,0,0.0,13996,True,False
19,2020-05-09,54,PR,Pinhais,4119152,city,29,21.9436,1,2,0,0.069,132157,True,False
19,2020-05-09,20,PR,Pinhal de São Bento,4119251,city,1,36.61662,0,0,0,0.0,2731,True,False
19,2020-05-09,36,PR,Pinhão,4119301,city,2,6.17455,0,0,0,0.0,32391,True,False
19,2020-05-09,37,PR,Piraquara,4119509,city,19,16.8088,4,0,0,0.0,113036,True,False
19,2020-05-09,21,PR,Planaltina do Paraná,4119707,city,8,187.66127,0,0,0,0.0,4263,True,False
19,2020-05-09,50,PR,Ponta Grossa,4119905,city,23,6.539,2,0,0,0.0,351736,True,False
19,2020-05-09,1,PR,Pontal do Paraná,4119954,city,1,3.66515,1,0,0,0.0,27284,True,False
19,2020-05-09,12,PR,Prado Ferreira,4120333,city,3,79.93605,0,0,0,0.0,3753,True,False
19,2020-05-09,34,PR,Primeiro de Maio,4120507,city,2,17.98076,0,1,0,0.5,11123,True,False
19,2020-05-09,43,PR,Quatiguá,4120705,city,2,26.84924,0,1,0,0.5,7449,True,False
19,2020-05-09,40,PR,Quatro Barras,4120804,city,2,8.48932,0,0,0,0.0,23559,True,False
19,2020-05-09,18,PR,Querência do Norte,4121000,city,7,57.34884,0,0,0,0.0,12206,True,False
19,2020-05-09,33,PR,Quitandinha,4121208,city,4,20.99848,1,0,0,0.0,19049,True,False
19,2020-05-09,21,PR,Ramilândia,4121257,city,1,22.46686,0,0,0,0.0,4451,True,False
19,2020-05-09,2,PR,Realeza,4121406,city,2,11.81893,0,0,0,0.0,16922,True,False
